,xrsa,xrsb,xrsa_quality,xrsb_quality
2024-05-14 00:00:00,1.0953525e-07,4.0176205e-06,0,0
2024-05-14 00:01:00,1.0736446e-07,4.002668e-06,0,0
2024-05-14 00:02:00,1.0478879e-07,3.9836355e-06,0,0
2024-05-14 00:03:00,1.05662316e-07,3.983747e-06,0,0
2024-05-14 00:04:00,1.0802083e-07,3.980147e-06,0,0
2024-05-14 00:05:00,1.0605316e-07,3.9717834e-06,0,0
2024-05-14 00:06:00,1.0520647e-07,3.9588194e-06,0,0
2024-05-14 00:07:00,1.03755106e-07,3.95718e-06,0,0
2024-05-14 00:08:00,1.03653825e-07,3.953337e-06,0,0
2024-05-14 00:09:00,1.0475297e-07,3.9581037e-06,0,0
2024-05-14 00:10:00,1.0414976e-07,3.9452857e-06,0,0
2024-05-14 00:11:00,1.032638e-07,3.9454826e-06,0,0
2024-05-14 00:12:00,1.05005775e-07,3.95901e-06,0,0
2024-05-14 00:13:00,1.098747e-07,3.9767533e-06,0,0
2024-05-14 00:14:00,1.0959988e-07,3.9719125e-06,0,0
2024-05-14 00:15:00,1.0566608e-07,3.9512556e-06,0,0
2024-05-14 00:16:00,1.05085334e-07,3.944499e-06,0,0
2024-05-14 00:17:00,1.0454444e-07,3.928125e-06,0,0
2024-05-14 00:18:00,1.0245413e-07,3.9106067e-06,0,0
2024-05-14 00:19:00,1.0133454e-07,3.8842604e-06,0,0
2024-05-14 00:20:00,9.947234e-08,3.8530216e-06,0,0
2024-05-14 00:21:00,9.622891e-08,3.825096e-06,0,0
2024-05-14 00:22:00,9.592146e-08,3.801554e-06,0,0
2024-05-14 00:23:00,9.5466135e-08,3.7856878e-06,0,0
2024-05-14 00:24:00,9.455996e-08,3.7715888e-06,0,0
2024-05-14 00:25:00,9.417044e-08,3.7566551e-06,0,0
2024-05-14 00:26:00,9.386662e-08,3.7458592e-06,0,0
2024-05-14 00:27:00,9.421936e-08,3.737418e-06,0,0
